arm,alpha,optimizer_chunks,inner_epochs,round,temperature_by_gamma,SR,CR,V_safe,successful_clearance,successful_time_to_goal
margin_alpha0_inner001,0.0,16,1,0,"{""0.1"": 1.0, ""0.2"": 1.0, ""0.3"": 1.0, ""0.4"": 1.0, ""0.5"": 1.0, ""0.7"": 1.0, ""1.0"": 1.0}",0.7857142857142857,0.21428571428571427,0.0,0.11804702227765863,8.127272727272729
margin_alpha0_inner004,0.0,16,4,16,"{""0.1"": 1.0, ""0.2"": 1.0, ""0.3"": 1.0, ""0.4"": 1.0, ""0.5"": 1.0, ""0.7"": 1.0, ""1.0"": 1.0}",0.7428571428571429,0.24285714285714285,0.0,0.113620707908502,8.450000000000001
margin_alpha0_inner016,0.0,16,16,8,"{""0.1"": 1.0, ""0.2"": 1.0, ""0.3"": 1.0, ""0.4"": 1.0, ""0.5"": 1.0, ""0.7"": 1.0, ""1.0"": 1.0}",0.8285714285714286,0.17142857142857143,0.0,0.1208578088674052,7.724137931034484
margin_alpha0p001_inner001,0.001,16,1,0,"{""0.1"": 1.0, ""0.2"": 1.0, ""0.3"": 1.0, ""0.4"": 1.0, ""0.5"": 1.0, ""0.7"": 1.0, ""1.0"": 1.0}",0.7857142857142857,0.21428571428571427,0.0,0.11804702227765863,8.127272727272729
margin_alpha0p001_inner004,0.001,16,4,0,"{""0.1"": 1.0, ""0.2"": 1.0, ""0.3"": 1.0, ""0.4"": 1.0, ""0.5"": 1.0, ""0.7"": 1.0, ""1.0"": 1.0}",0.7857142857142857,0.21428571428571427,0.0,0.11804702227765863,8.127272727272729
margin_alpha0p001_inner016,0.001,16,16,3,"{""0.1"": 1.0, ""0.2"": 1.0, ""0.3"": 1.0, ""0.4"": 1.0, ""0.5"": 1.0, ""0.7"": 1.0, ""1.0"": 1.0}",0.7857142857142857,0.21428571428571427,0.0,0.12495208165862344,8.401818181818184
margin_alpha0p01_inner001,0.01,16,1,0,"{""0.1"": 1.0, ""0.2"": 1.0, ""0.3"": 1.0, ""0.4"": 1.0, ""0.5"": 1.0, ""0.7"": 1.0, ""1.0"": 1.0}",0.7857142857142857,0.21428571428571427,0.0,0.11804702227765863,8.127272727272729
margin_alpha0p01_inner004,0.01,16,4,0,"{""0.1"": 1.0, ""0.2"": 1.0, ""0.3"": 1.0, ""0.4"": 1.0, ""0.5"": 1.0, ""0.7"": 1.0, ""1.0"": 1.0}",0.7857142857142857,0.21428571428571427,0.0,0.11804702227765863,8.127272727272729
margin_alpha0p01_inner016,0.01,16,16,4,"{""0.1"": 1.0, ""0.2"": 1.0, ""0.3"": 1.0, ""0.4"": 1.0, ""0.5"": 1.0, ""0.7"": 1.0, ""1.0"": 1.0}",0.8142857142857143,0.18571428571428572,0.0,0.11622799436251323,8.189473684210526
